Item name,Price,Locations,Link
Sony PS3 PS4 Orig Games Unit Accessories,500,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/sony-ps3-ps4-orig-games-unit-accessories-ID7yJS2.html?h=d58554ec89"

PS4 pro 1terabyte,21500,Makati  Metro Manila (NCR),"https://www.olx.ph/item/ps4-pro-1terabyte-ID7XEwr.html?h=d58554ec89"

Ps4 Games For Sale or Swap,200,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-games-for-sale-or-swap-ID7XEua.html?h=d58554ec89"

Family Computer Super Mario Tape Original not ps3 ps4 3ds wii vita,350,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/family-computer-super-mario-tape-original-not-ps3-ps4-3ds-wii-vita-ID7XEpx.html?h=d58554ec89"

RUSH PS4 Fallout 4,1000,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/rush-ps4-fallout-4-ID7XEe0.html?h=d58554ec89"

PS4 games for sale,2400,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-games-for-sale-ID7Xfdb.html?h=d58554ec89"

Bnew PS4 Pro sealed,22500,Makati  Metro Manila (NCR),"https://www.olx.ph/item/bnew-ps4-pro-sealed-ID7W7af.html?h=d58554ec89"

ps4 game the last guardian,1500,Santa Maria  Bulacan,"https://www.olx.ph/item/ps4-game-the-last-guardian-ID7Xf5x.html?h=d58554ec89"

ps4 game battlefield 1,1600,Santa Maria  Bulacan,"https://www.olx.ph/item/ps4-game-battlefield-1-ID7Xf5U.html?h=d58554ec89"

Ps4 Sony Playstation 4 (500GB) CUH-1006A (R3),10000,Manila  Metro Manila (NCR),"https://www.olx.ph/item/ps4-sony-playstation-4-500gb-cuh-1006a-r3-ID7XDXw.html?h=d58554ec89"

PS3 PS4 Sony Gold Gaming Wireless Headset,4000,Davao City  Davao del Sur,"https://www.olx.ph/item/ps3-ps4-sony-gold-gaming-wireless-headset-ID7XDWu.html?h=d58554ec89"

Ps4 1tb with 2 games and 1 controller,13000,Lipa City  Batangas,"https://www.olx.ph/item/ps4-1tb-with-2-games-and-1-controller-ID7UcJV.html?h=d58554ec89"

Xbox guitar ps3 ps4 and psvita games,2800,Muntinlupa  Metro Manila (NCR),"https://www.olx.ph/item/xbox-guitar-ps3-ps4-and-psvita-games-ID7XDTD.html?h=d58554ec89"

PS4 Camera (negotiable),2000,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-camera-negotiable-ID7XeYB.html?h=d58554ec89"

The Order 1886 Ps4,700,Manila  Metro Manila (NCR),"https://www.olx.ph/item/the-order-1886-ps4-ID7XDRc.html?h=d58554ec89"

boxes for your speaker xbox ps3 ps4 pisonet videoke,2500,Silang  Cavite,"https://www.olx.ph/item/boxes-for-your-speaker-xbox-ps3-ps4-pisonet-videoke-ID7PKS9.html?h=d58554ec89"

Watchdog2 PS4 sale swap,2100,Malolos City  Bulacan,"https://www.olx.ph/item/watchdog2-ps4-sale-swap-ID7Q6CD.html?h=d58554ec89"

Need for speed 2015 ps4 game sale swap,1500,Malolos City  Bulacan,"https://www.olx.ph/item/need-for-speed-2015-ps4-game-sale-swap-ID7Q6DF.html?h=d58554ec89"

Attack on Titan Wings of Freedom for Sony PlayStation 4 (PS4),2500,Manila  Metro Manila (NCR),"https://www.olx.ph/item/attack-on-titan-wings-of-freedom-for-sony-playstation-4-ps4-ID7PWoh.html?h=d58554ec89"

Batman The Telltale Series for Sony PlayStation 4 (PS4),1500,Manila  Metro Manila (NCR),"https://www.olx.ph/item/batman-the-telltale-series-for-sony-playstation-4-ps4-ID7PWgX.html?h=d58554ec89"

Dragon Quest Heroes for Sony PlayStation 4 (PS4),1500,Manila  Metro Manila (NCR),"https://www.olx.ph/item/dragon-quest-heroes-for-sony-playstation-4-ps4-ID7PWjG.html?h=d58554ec89"

