Price,Item name,Locations,Link
22500,Bnew PS4 Pro sealed,Makati  Metro Manila (NCR),"https://www.olx.ph/item/bnew-ps4-pro-sealed-ID7W7af.html?h=d58554ec89"

21500,PS4 pro 1terabyte,Makati  Metro Manila (NCR),"https://www.olx.ph/item/ps4-pro-1terabyte-ID7XEwr.html?h=d58554ec89"

13000,Ps4 1tb with 2 games and 1 controller,Lipa City  Batangas,"https://www.olx.ph/item/ps4-1tb-with-2-games-and-1-controller-ID7UcJV.html?h=d58554ec89"

10000,Ps4 Sony Playstation 4 (500GB) CUH-1006A (R3),Manila  Metro Manila (NCR),"https://www.olx.ph/item/ps4-sony-playstation-4-500gb-cuh-1006a-r3-ID7XDXw.html?h=d58554ec89"

4000,PS3 PS4 Sony Gold Gaming Wireless Headset,Davao City  Davao del Sur,"https://www.olx.ph/item/ps3-ps4-sony-gold-gaming-wireless-headset-ID7XDWu.html?h=d58554ec89"

2800,Xbox guitar ps3 ps4 and psvita games,Muntinlupa  Metro Manila (NCR),"https://www.olx.ph/item/xbox-guitar-ps3-ps4-and-psvita-games-ID7XDTD.html?h=d58554ec89"

2500,boxes for your speaker xbox ps3 ps4 pisonet videoke,Silang  Cavite,"https://www.olx.ph/item/boxes-for-your-speaker-xbox-ps3-ps4-pisonet-videoke-ID7PKS9.html?h=d58554ec89"

2500,Attack on Titan Wings of Freedom for Sony PlayStation 4 (PS4),Manila  Metro Manila (NCR),"https://www.olx.ph/item/attack-on-titan-wings-of-freedom-for-sony-playstation-4-ps4-ID7PWoh.html?h=d58554ec89"

2400,PS4 games for sale,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-games-for-sale-ID7Xfdb.html?h=d58554ec89"

2100,Watchdog2 PS4 sale swap,Malolos City  Bulacan,"https://www.olx.ph/item/watchdog2-ps4-sale-swap-ID7Q6CD.html?h=d58554ec89"

2000,PS4 Camera (negotiable),Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-camera-negotiable-ID7XeYB.html?h=d58554ec89"

1600,ps4 game battlefield 1,Santa Maria  Bulacan,"https://www.olx.ph/item/ps4-game-battlefield-1-ID7Xf5U.html?h=d58554ec89"

1500,ps4 game the last guardian,Santa Maria  Bulacan,"https://www.olx.ph/item/ps4-game-the-last-guardian-ID7Xf5x.html?h=d58554ec89"

1500,Need for speed 2015 ps4 game sale swap,Malolos City  Bulacan,"https://www.olx.ph/item/need-for-speed-2015-ps4-game-sale-swap-ID7Q6DF.html?h=d58554ec89"

1500,Batman The Telltale Series for Sony PlayStation 4 (PS4),Manila  Metro Manila (NCR),"https://www.olx.ph/item/batman-the-telltale-series-for-sony-playstation-4-ps4-ID7PWgX.html?h=d58554ec89"

1500,Dragon Quest Heroes for Sony PlayStation 4 (PS4),Manila  Metro Manila (NCR),"https://www.olx.ph/item/dragon-quest-heroes-for-sony-playstation-4-ps4-ID7PWjG.html?h=d58554ec89"

1000,RUSH PS4 Fallout 4,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/rush-ps4-fallout-4-ID7XEe0.html?h=d58554ec89"

700,The Order 1886 Ps4,Manila  Metro Manila (NCR),"https://www.olx.ph/item/the-order-1886-ps4-ID7XDRc.html?h=d58554ec89"

500,Sony PS3 PS4 Orig Games Unit Accessories,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/sony-ps3-ps4-orig-games-unit-accessories-ID7yJS2.html?h=d58554ec89"

350,Family Computer Super Mario Tape Original not ps3 ps4 3ds wii vita,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/family-computer-super-mario-tape-original-not-ps3-ps4-3ds-wii-vita-ID7XEpx.html?h=d58554ec89"

200,Ps4 Games For Sale or Swap,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/ps4-games-for-sale-or-swap-ID7XEua.html?h=d58554ec89"

