Item name,Price,Locations,Link
Skechers Incredible Elastika Girl Biker II Sneaker - color Old White,1500,Binan  Laguna,"https://www.olx.ph/item/skechers-incredible-elastika-girl-biker-ii-sneaker-color-old-white-ID7Xftb.html?h=097a9e9d2f"

crissa gray sneakers shoes,400,Malolos City  Bulacan,"https://www.olx.ph/item/crissa-gray-sneakers-shoes-ID7XfvW.html?h=097a9e9d2f"

Lacoste Blue sneakers size 9,699,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/lacoste-blue-sneakers-size-9-ID7XDYF.html?h=097a9e9d2f"

Happy Feet Sneakers,1000,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/happy-feet-sneakers-ID7XE7r.html?h=097a9e9d2f"

Preloved Blue Snoopy Sneakers for Baby or Toddler Girls,300,Manila  Metro Manila (NCR),"https://www.olx.ph/item/preloved-blue-snoopy-sneakers-for-baby-or-toddler-girls-ID7XDFp.html?h=097a9e9d2f"

Brandnew Orig Nike Lunarlon casual sneaker rubber shoes skateboard,2199,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/brandnew-orig-nike-lunarlon-casual-sneaker-rubber-shoes-skateboard-ID7Xewq.html?h=097a9e9d2f"

Original Lacoste Sneakers Men,2500,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/original-lacoste-sneakers-men-ID7XeD5.html?h=097a9e9d2f"

Orig. PUMA St Trainer Evo SD Drizzle Sneakers,2500,Manila  Metro Manila (NCR),"https://www.olx.ph/item/orig-puma-st-trainer-evo-sd-drizzle-sneakers-ID7XDxz.html?h=097a9e9d2f"

PIOLA Sneaker Shoes Made In Peru,3850,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/piola-sneaker-shoes-made-in-peru-ID7Xprk.html?h=097a9e9d2f"

New Balance Men&#039;s ML798 Classic Sneaker,3288,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/new-balance-mens-ml798-classic-sneaker-ID7Xpmy.html?h=097a9e9d2f"

Gucci Ace Hearts Sneakers,35500,Manila  Metro Manila (NCR),"https://www.olx.ph/item/gucci-ace-hearts-sneakers-ID7Xpsp.html?h=097a9e9d2f"

Gucci Ace Sneakers size 375,38000,Muntinlupa  Metro Manila (NCR),"https://www.olx.ph/item/gucci-ace-sneakers-size-375-ID7Q0RJ.html?h=097a9e9d2f"

Fear of God Military Sneakers,7000,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/fear-of-god-military-sneakers-ID7XDeb.html?h=097a9e9d2f"

Zalora High Cut Sneakers with Zip Details,700,Taguig  Metro Manila (NCR),"https://www.olx.ph/item/zalora-high-cut-sneakers-with-zip-details-ID7RrzH.html?h=097a9e9d2f"

Le Coq Sportif rooster sneakers size 7,1800,Manila  Metro Manila (NCR),"https://www.olx.ph/item/le-coq-sportif-rooster-sneakers-size-7-ID78sUl.html?h=097a9e9d2f"

Snoopy sneakers,200,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/snoopy-sneakers-ID7Xp58.html?h=097a9e9d2f"

Reebok GL6000 Classic Sneakers,3000,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/reebok-gl6000-classic-sneakers-ID7XD2s.html?h=097a9e9d2f"

Onitsuka Tiger Sneakers Red Size 9.5Mens,3000,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/onitsuka-tiger-sneakers-red-size-9-5mens-ID7XD1E.html?h=097a9e9d2f"

Puma Whirlwind Sneakers Size 9.5Mens,3000,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/puma-whirlwind-sneakers-size-9-5mens-ID7XD0w.html?h=097a9e9d2f"

Zalora Mens Step in Sneakers loafers shoes sperry cole haan,999,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/zalora-mens-step-in-sneakers-loafers-shoes-sperry-cole-haan-ID7XCVg.html?h=097a9e9d2f"

