Locations,Item name,Price,Link
Taguig  Metro Manila (NCR),Zalora High Cut Sneakers with Zip Details,700,"https://www.olx.ph/item/zalora-high-cut-sneakers-with-zip-details-ID7RrzH.html?h=097a9e9d2f"

San Juan  Metro Manila (NCR),Reebok GL6000 Classic Sneakers,3000,"https://www.olx.ph/item/reebok-gl6000-classic-sneakers-ID7XD2s.html?h=097a9e9d2f"

San Juan  Metro Manila (NCR),Onitsuka Tiger Sneakers Red Size 9.5Mens,3000,"https://www.olx.ph/item/onitsuka-tiger-sneakers-red-size-9-5mens-ID7XD1E.html?h=097a9e9d2f"

San Juan  Metro Manila (NCR),Puma Whirlwind Sneakers Size 9.5Mens,3000,"https://www.olx.ph/item/puma-whirlwind-sneakers-size-9-5mens-ID7XD0w.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),Happy Feet Sneakers,1000,"https://www.olx.ph/item/happy-feet-sneakers-ID7XE7r.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),Brandnew Orig Nike Lunarlon casual sneaker rubber shoes skateboard,2199,"https://www.olx.ph/item/brandnew-orig-nike-lunarlon-casual-sneaker-rubber-shoes-skateboard-ID7Xewq.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),PIOLA Sneaker Shoes Made In Peru,3850,"https://www.olx.ph/item/piola-sneaker-shoes-made-in-peru-ID7Xprk.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),New Balance Men&#039;s ML798 Classic Sneaker,3288,"https://www.olx.ph/item/new-balance-mens-ml798-classic-sneaker-ID7Xpmy.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),Snoopy sneakers,200,"https://www.olx.ph/item/snoopy-sneakers-ID7Xp58.html?h=097a9e9d2f"

Quezon City  Metro Manila (NCR),Zalora Mens Step in Sneakers loafers shoes sperry cole haan,999,"https://www.olx.ph/item/zalora-mens-step-in-sneakers-loafers-shoes-sperry-cole-haan-ID7XCVg.html?h=097a9e9d2f"

Muntinlupa  Metro Manila (NCR),Gucci Ace Sneakers size 375,38000,"https://www.olx.ph/item/gucci-ace-sneakers-size-375-ID7Q0RJ.html?h=097a9e9d2f"

Manila  Metro Manila (NCR),Preloved Blue Snoopy Sneakers for Baby or Toddler Girls,300,"https://www.olx.ph/item/preloved-blue-snoopy-sneakers-for-baby-or-toddler-girls-ID7XDFp.html?h=097a9e9d2f"

Manila  Metro Manila (NCR),Orig. PUMA St Trainer Evo SD Drizzle Sneakers,2500,"https://www.olx.ph/item/orig-puma-st-trainer-evo-sd-drizzle-sneakers-ID7XDxz.html?h=097a9e9d2f"

Manila  Metro Manila (NCR),Gucci Ace Hearts Sneakers,35500,"https://www.olx.ph/item/gucci-ace-hearts-sneakers-ID7Xpsp.html?h=097a9e9d2f"

Manila  Metro Manila (NCR),Le Coq Sportif rooster sneakers size 7,1800,"https://www.olx.ph/item/le-coq-sportif-rooster-sneakers-size-7-ID78sUl.html?h=097a9e9d2f"

Mandaluyong  Metro Manila (NCR),Lacoste Blue sneakers size 9,699,"https://www.olx.ph/item/lacoste-blue-sneakers-size-9-ID7XDYF.html?h=097a9e9d2f"

Mandaluyong  Metro Manila (NCR),Original Lacoste Sneakers Men,2500,"https://www.olx.ph/item/original-lacoste-sneakers-men-ID7XeD5.html?h=097a9e9d2f"

Mandaluyong  Metro Manila (NCR),Fear of God Military Sneakers,7000,"https://www.olx.ph/item/fear-of-god-military-sneakers-ID7XDeb.html?h=097a9e9d2f"

Malolos City  Bulacan,crissa gray sneakers shoes,400,"https://www.olx.ph/item/crissa-gray-sneakers-shoes-ID7XfvW.html?h=097a9e9d2f"

Binan  Laguna,Skechers Incredible Elastika Girl Biker II Sneaker - color Old White,1500,"https://www.olx.ph/item/skechers-incredible-elastika-girl-biker-ii-sneaker-color-old-white-ID7Xftb.html?h=097a9e9d2f"

