Price,Item name,Locations,Link
38000,Gucci Ace Sneakers size 375,Muntinlupa  Metro Manila (NCR),"https://www.olx.ph/item/gucci-ace-sneakers-size-375-ID7Q0RJ.html?h=097a9e9d2f"

35500,Gucci Ace Hearts Sneakers,Manila  Metro Manila (NCR),"https://www.olx.ph/item/gucci-ace-hearts-sneakers-ID7Xpsp.html?h=097a9e9d2f"

7000,Fear of God Military Sneakers,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/fear-of-god-military-sneakers-ID7XDeb.html?h=097a9e9d2f"

3850,PIOLA Sneaker Shoes Made In Peru,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/piola-sneaker-shoes-made-in-peru-ID7Xprk.html?h=097a9e9d2f"

3288,New Balance Men&#039;s ML798 Classic Sneaker,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/new-balance-mens-ml798-classic-sneaker-ID7Xpmy.html?h=097a9e9d2f"

3000,Reebok GL6000 Classic Sneakers,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/reebok-gl6000-classic-sneakers-ID7XD2s.html?h=097a9e9d2f"

3000,Onitsuka Tiger Sneakers Red Size 9.5Mens,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/onitsuka-tiger-sneakers-red-size-9-5mens-ID7XD1E.html?h=097a9e9d2f"

3000,Puma Whirlwind Sneakers Size 9.5Mens,San Juan  Metro Manila (NCR),"https://www.olx.ph/item/puma-whirlwind-sneakers-size-9-5mens-ID7XD0w.html?h=097a9e9d2f"

2500,Original Lacoste Sneakers Men,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/original-lacoste-sneakers-men-ID7XeD5.html?h=097a9e9d2f"

2500,Orig. PUMA St Trainer Evo SD Drizzle Sneakers,Manila  Metro Manila (NCR),"https://www.olx.ph/item/orig-puma-st-trainer-evo-sd-drizzle-sneakers-ID7XDxz.html?h=097a9e9d2f"

2199,Brandnew Orig Nike Lunarlon casual sneaker rubber shoes skateboard,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/brandnew-orig-nike-lunarlon-casual-sneaker-rubber-shoes-skateboard-ID7Xewq.html?h=097a9e9d2f"

1800,Le Coq Sportif rooster sneakers size 7,Manila  Metro Manila (NCR),"https://www.olx.ph/item/le-coq-sportif-rooster-sneakers-size-7-ID78sUl.html?h=097a9e9d2f"

1500,Skechers Incredible Elastika Girl Biker II Sneaker - color Old White,Binan  Laguna,"https://www.olx.ph/item/skechers-incredible-elastika-girl-biker-ii-sneaker-color-old-white-ID7Xftb.html?h=097a9e9d2f"

1000,Happy Feet Sneakers,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/happy-feet-sneakers-ID7XE7r.html?h=097a9e9d2f"

999,Zalora Mens Step in Sneakers loafers shoes sperry cole haan,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/zalora-mens-step-in-sneakers-loafers-shoes-sperry-cole-haan-ID7XCVg.html?h=097a9e9d2f"

700,Zalora High Cut Sneakers with Zip Details,Taguig  Metro Manila (NCR),"https://www.olx.ph/item/zalora-high-cut-sneakers-with-zip-details-ID7RrzH.html?h=097a9e9d2f"

699,Lacoste Blue sneakers size 9,Mandaluyong  Metro Manila (NCR),"https://www.olx.ph/item/lacoste-blue-sneakers-size-9-ID7XDYF.html?h=097a9e9d2f"

400,crissa gray sneakers shoes,Malolos City  Bulacan,"https://www.olx.ph/item/crissa-gray-sneakers-shoes-ID7XfvW.html?h=097a9e9d2f"

300,Preloved Blue Snoopy Sneakers for Baby or Toddler Girls,Manila  Metro Manila (NCR),"https://www.olx.ph/item/preloved-blue-snoopy-sneakers-for-baby-or-toddler-girls-ID7XDFp.html?h=097a9e9d2f"

200,Snoopy sneakers,Quezon City  Metro Manila (NCR),"https://www.olx.ph/item/snoopy-sneakers-ID7Xp58.html?h=097a9e9d2f"

